State,Percent In ,Clinton Percentage,Trump Percentage
GA,100,46,51
IN,100,38,57
KY,100,33,63
SC,100,41,55
VA,>99,50,45
VT,100,61,33
NC,100,47,51
OH,100,44,52
WV,100,26,69
AL,100,35,63
CT,>99,54,41
DC,100,93,4
DE,100,53,42
FL,100,48,49
IL,99,55,39
MA,100,61,34
MD,>99,61,35
ME,100,48,45
MO,>99,38,57
MS,100,40,58
NH,100,48,47
NJ,99,55,42
OK,100,29,65
PA,>99,48,49
RI,100,55,40
TN,100,35,61
AR,100,34,60
AZ,100,45,50
CO,100,47,44
KS,>99,36,57
LA,100,38,58
MI,100,47,48
MN,100,47,45
ND,100,28,64
NE,100,34,60
NM,100,48,40
NY,>99,59,37
SD,100,32,62
TX,>99,43,53
WI,100,47,48
WY,100,22,70
IA,>99,42,52
MT,100,36,57
NV,100,48,46
UT,94,28,46
CA,100,62,33
HI,100,62,30
ID,100,28,59
OR,99,52,41
WA,91,54,38
AK,>99,38,53
